ticker_symbol,text,created_at,compound
AMZN,"The equity markets could pull back on earnings results after their big rebound, says  @Randy_Watts_ of @ONeilGlobal.    https://t.co/ZJpGu1xZGu @ReutersMoney $NFLX $AMZN",2020-04-14 20:43:22+00:00,0
AMZN,"🔥 Today's Trending Stocks 🔥
🥇Tesla Inc
$TSLA » 709.89 🔼58.94▪️️9.05%
🥈https://t.co/YJ0zftNqcc Inc.
$AMZN » 2283.32 🔼114.45▪️️5.28%
🥉JPMorgan Chase &amp; Co.
$JPM » 95.5 🔽2.69▪️️2.74%
Rankings ➡️ https://t.co/hFlby5ThXG
https://t.co/hFlby5ThXG",2020-04-14 20:41:06+00:00,0
AMZN,@jimcramer Get on the Stay at Home CONGA $CSCO $OKTA $NFLX $GRUB $AMZN,2020-04-14 20:37:01+00:00,0
AMZN,"$DJI $SPX $IXIC $AMZN $JNJ:

Here’s what happened to the stock market on Tuesday:

https://t.co/WZes1CuIIP",2020-04-14 20:36:07+00:00,0
AMZN,RT @UPBOptionMil: $AMZN tapping new all time record high pre-mkt https://t.co/1bvHQ4cJZf,2020-04-14 20:34:21+00:00,0
AMZN,240 points in two days. $AMZN 😎,2020-04-14 20:32:42+00:00,0
AMZN,$AMZN in two days.. last two 🍬 🤯 https://t.co/nViAzsEFba,2020-04-14 20:31:21+00:00,0
AMZN,@SJosephBurns $AMZN already at new highs,2020-04-14 20:26:42+00:00,0
AMZN,"All time highs hit
$AMED $AMZN $CHWY $DG $DOCU $FIVN $LLY $MOH $MASI $QLYS $VEEV $WMT $XLRN",2020-04-14 20:23:18+00:00,0
AMZN,"@jimcramer NAWM as in nom-nom, as in eat these stocks up, as in am I overreaching with this explanation? $NFLX $AMZN $WMT $MSFT #stayathomestocks",2020-04-14 20:22:58+00:00,0
AMZN,"The Zon ATHs

$AMZN $WMT $XLY https://t.co/iVWGlehN9a",2020-04-14 20:22:39+00:00,0
